topic,name,address,phone,website,description
Veteran Resources,Freedom Paws (Service Animals),5407 E Cambron Chillicothe,309-232-8942,https://freedompawsservicedogs.org/,Service dogs for post-traumatic stress disorder (PTSD).
Veteran Resources,Goodwill of Central IL Veteran Services,2319 E War Memorial Drive Peoria,309-682-1113,https://www.goodwillpeo.org/veterans-services-peoria-il/,"Employment services, job referrals, claims filing support; also operates a 10-bed facility for unhoused veterans."
Veteran Resources,Illinois Valley Fuller Center,1716 N University Ave Peoria,309-678-9552,https://fullercenter.org/peoria-illinois/,"Home repairs for low-income veterans or their widows in Tazewell, Woodford, and Peoria counties, focusing on safety and security."
Veteran Resources,Tazewell County Veterans Assistance Office,414 Court St Pekin,309-477-2271,https://tazewell-il.gov/veteransassistance/,"Aid for indigent veterans and families in Tazewell County; service connection claims, insurance, education benefits, pensions, burial info, and referrals."
Veteran Resources,Bob Michel VA Outpatient Clinic,7717 N Orange Prairie Rd Peoria,309-589-6800,https://www.va.gov/illiana-health-care/locations/bob-michel-department-of-veterans-affairs-outpatient-clinic/,"Audiology, homelessness services, nutrition, optometry, pharmacy, physical rehabilitation, psychology, and more."
Veteran Resources,Travelling Veteran Program,,217-554-4311,,"VA assistance with coordinating routine services while a veteran is traveling."
Veteran Resources,Honor Rewards Program Tazewell County,,309-477-2264,https://honorrewards.com/?page_id=4527,"Community rewards program offering discounts to veterans; free discount card available to veterans who sign up."
Veteran Resources,VA Health Connect,,833-933-1107,,"VA telephone health care services."
Veteran Resources,Veterans of Foreign Wars Post 1232,1232 Veterans Dr,309-346-0118,,"Veteran service and support organization."
Veteran Resources,Pekin Marine Corp League,13370 Garman Rd Pekin,309-346-8888,https://www.mcleaguelibrary.org/,Veteran service and support organization.
Veteran Resources,Wayne A. Downing Home for Veterans,"403 S Olive St #3660, Peoria",309-676-5541,https://www.goodwillpeo.org/services/general-downing-home/,"15-bedroom facility providing customized services including PTSD treatment, substance abuse counseling, job training, legal assistance, food, housing, and more."
Veteran Resources,Peoria Vet Center,5015 W American Prairie Dr Peoria,309-689-9708,https://www.va.gov/peoria-vet-center/,Individual and group counseling for combat veterans and their immediate family members.
